symbol,concept,decision_session,candidate_count,eligible_count,economic_period_group_count,same_day_rejected_count,duration_candidates_at_latest_end,selection_status,selection_reason,selected_fact
JPM,NetCashProvidedByUsedInInvestingActivities,2024-05-31,604,576,65,0,"[{""accession_number"": ""0000019617-24-000326"", ""filed_date"": ""2024-05-01"", ""filing_period_match_score"": 1, ""form"": ""10-Q"", ""fp"": ""Q1"", ""period_duration_days"": 91, ""period_end"": ""2024-03-31"", ""period_start"": ""2024-01-01""}]",AVAILABLE,latest PIT-safe economic period; filing-period duration preference applied,"{""accession_number"": ""0000019617-24-000326"", ""concept"": ""NetCashProvidedByUsedInInvestingActivities"", ""filed_date"": ""2024-05-01"", ""form"": ""10-Q"", ""fp"": ""Q1"", ""fy"": 2024, ""period_duration_class"": ""quarterly"", ""period_duration_days"": 91, ""period_end"": ""2024-03-31"", ""period_start"": ""2024-01-01"", ""source_member"": ""financial_reports/jpm/condensed_consolidated_statement_of_cash_flows.json"", ""source_provenance_hash"": ""ca12ab736a2b772ea7da8832549a7ff9107f97eee50d9875f9c4088507aede34"", ""taxonomy"": ""us-gaap"", ""unit"": ""USD"", ""value"": -43379000000}"
JPM,NetCashProvidedByUsedInFinancingActivities,2024-05-31,604,576,65,0,"[{""accession_number"": ""0000019617-24-000326"", ""filed_date"": ""2024-05-01"", ""filing_period_match_score"": 1, ""form"": ""10-Q"", ""fp"": ""Q1"", ""period_duration_days"": 91, ""period_end"": ""2024-03-31"", ""period_start"": ""2024-01-01""}]",AVAILABLE,latest PIT-safe economic period; filing-period duration preference applied,"{""accession_number"": ""0000019617-24-000326"", ""concept"": ""NetCashProvidedByUsedInFinancingActivities"", ""filed_date"": ""2024-05-01"", ""form"": ""10-Q"", ""fp"": ""Q1"", ""fy"": 2024, ""period_duration_class"": ""quarterly"", ""period_duration_days"": 91, ""period_end"": ""2024-03-31"", ""period_start"": ""2024-01-01"", ""source_member"": ""financial_reports/jpm/condensed_consolidated_statement_of_cash_flows.json"", ""source_provenance_hash"": ""c76f6a506cf265e8d29f579b10fd49cdbbc5964465391b5832262a0bddf0631d"", ""taxonomy"": ""us-gaap"", ""unit"": ""USD"", ""value"": 141168000000}"
AAPL,Assets,2024-06-07,5628,5376,61,0,"[{""accession_number"": ""0000320193-24-000069"", ""filed_date"": ""2024-05-03"", ""filing_period_match_score"": 0, ""form"": ""10-Q"", ""fp"": ""Q2"", ""period_duration_days"": null, ""period_end"": ""2024-03-30"", ""period_start"": """"}]",AVAILABLE,latest PIT-safe economic period; filing-period duration preference applied,"{""accession_number"": ""0000320193-24-000069"", ""concept"": ""Assets"", ""filed_date"": ""2024-05-03"", ""form"": ""10-Q"", ""fp"": ""Q2"", ""fy"": 2024, ""period_duration_class"": ""point_in_time"", ""period_duration_days"": null, ""period_end"": ""2024-03-30"", ""period_start"": """", ""source_member"": ""financial_reports/aapl/condensed_consolidated_balance_sheets.json"", ""source_provenance_hash"": ""cba252b96f0085bd9e2cafde217a9e50e871879768adb0c58ef075d88aae2c69"", ""taxonomy"": ""us-gaap"", ""unit"": ""USD"", ""value"": 337411000000}"
AAPL,Liabilities,2024-06-07,5544,5292,61,0,"[{""accession_number"": ""0000320193-24-000069"", ""filed_date"": ""2024-05-03"", ""filing_period_match_score"": 0, ""form"": ""10-Q"", ""fp"": ""Q2"", ""period_duration_days"": null, ""period_end"": ""2024-03-30"", ""period_start"": """"}]",AVAILABLE,latest PIT-safe economic period; filing-period duration preference applied,"{""accession_number"": ""0000320193-24-000069"", ""concept"": ""Liabilities"", ""filed_date"": ""2024-05-03"", ""form"": ""10-Q"", ""fp"": ""Q2"", ""fy"": 2024, ""period_duration_class"": ""point_in_time"", ""period_duration_days"": null, ""period_end"": ""2024-03-30"", ""period_start"": """", ""source_member"": ""financial_reports/aapl/condensed_consolidated_balance_sheets.json"", ""source_provenance_hash"": ""36b48c3c5ef87f365f656d78017043ec6da3d1fa7faf7076c8c8c14393b53a00"", ""taxonomy"": ""us-gaap"", ""unit"": ""USD"", ""value"": 263217000000}"
AAPL,StockholdersEquity,2024-06-07,9744,9156,63,0,"[{""accession_number"": ""0000320193-24-000069"", ""filed_date"": ""2024-05-03"", ""filing_period_match_score"": 0, ""form"": ""10-Q"", ""fp"": ""Q2"", ""period_duration_days"": null, ""period_end"": ""2024-03-30"", ""period_start"": """"}]",AVAILABLE,latest PIT-safe economic period; filing-period duration preference applied,"{""accession_number"": ""0000320193-24-000069"", ""concept"": ""StockholdersEquity"", ""filed_date"": ""2024-05-03"", ""form"": ""10-Q"", ""fp"": ""Q2"", ""fy"": 2024, ""period_duration_class"": ""point_in_time"", ""period_duration_days"": null, ""period_end"": ""2024-03-30"", ""period_start"": """", ""source_member"": ""financial_reports/aapl/condensed_consolidated_balance_sheets.json"", ""source_provenance_hash"": ""8adf9d7079a89b218208d382a2360dd7d647ee7814c358bbfc78d02dfff531fd"", ""taxonomy"": ""us-gaap"", ""unit"": ""USD"", ""value"": 74194000000}"
AAPL,NetCashProvidedByUsedInOperatingActivities,2024-06-07,5082,4788,58,0,"[{""accession_number"": ""0000320193-24-000069"", ""filed_date"": ""2024-05-03"", ""filing_period_match_score"": 1, ""form"": ""10-Q"", ""fp"": ""Q2"", ""period_duration_days"": 182, ""period_end"": ""2024-03-30"", ""period_start"": ""2023-10-01""}]",AVAILABLE,latest PIT-safe economic period; filing-period duration preference applied,"{""accession_number"": ""0000320193-24-000069"", ""concept"": ""NetCashProvidedByUsedInOperatingActivities"", ""filed_date"": ""2024-05-03"", ""form"": ""10-Q"", ""fp"": ""Q2"", ""fy"": 2024, ""period_duration_class"": ""year_to_date_h1"", ""period_duration_days"": 182, ""period_end"": ""2024-03-30"", ""period_start"": ""2023-10-01"", ""source_member"": ""financial_reports/aapl/condensed_consolidated_statement_of_cash_flows.json"", ""source_provenance_hash"": ""123ff8cb4903973fe21f35d3b3ce990a91ecf0e8f2e33fee3b0e2f2c8cff8301"", ""taxonomy"": ""us-gaap"", ""unit"": ""USD"", ""value"": 62585000000}"
AAPL,NetCashProvidedByUsedInInvestingActivities,2024-06-07,5082,4788,58,0,"[{""accession_number"": ""0000320193-24-000069"", ""filed_date"": ""2024-05-03"", ""filing_period_match_score"": 1, ""form"": ""10-Q"", ""fp"": ""Q2"", ""period_duration_days"": 182, ""period_end"": ""2024-03-30"", ""period_start"": ""2023-10-01""}]",AVAILABLE,latest PIT-safe economic period; filing-period duration preference applied,"{""accession_number"": ""0000320193-24-000069"", ""concept"": ""NetCashProvidedByUsedInInvestingActivities"", ""filed_date"": ""2024-05-03"", ""form"": ""10-Q"", ""fp"": ""Q2"", ""fy"": 2024, ""period_duration_class"": ""year_to_date_h1"", ""period_duration_days"": 182, ""period_end"": ""2024-03-30"", ""period_start"": ""2023-10-01"", ""source_member"": ""financial_reports/aapl/condensed_consolidated_statement_of_cash_flows.json"", ""source_provenance_hash"": ""9bd3cf75524877c2b648657373f595c073df39a17c9df87b5433dc67d27bf327"", ""taxonomy"": ""us-gaap"", ""unit"": ""USD"", ""value"": 1617000000}"
AAPL,NetCashProvidedByUsedInFinancingActivities,2024-06-07,5082,4788,58,0,"[{""accession_number"": ""0000320193-24-000069"", ""filed_date"": ""2024-05-03"", ""filing_period_match_score"": 1, ""form"": ""10-Q"", ""fp"": ""Q2"", ""period_duration_days"": 182, ""period_end"": ""2024-03-30"", ""period_start"": ""2023-10-01""}]",AVAILABLE,latest PIT-safe economic period; filing-period duration preference applied,"{""accession_number"": ""0000320193-24-000069"", ""concept"": ""NetCashProvidedByUsedInFinancingActivities"", ""filed_date"": ""2024-05-03"", ""form"": ""10-Q"", ""fp"": ""Q2"", ""fy"": 2024, ""period_duration_class"": ""year_to_date_h1"", ""period_duration_days"": 182, ""period_end"": ""2024-03-30"", ""period_start"": ""2023-10-01"", ""source_member"": ""financial_reports/aapl/condensed_consolidated_statement_of_cash_flows.json"", ""source_provenance_hash"": ""f933a8c210b6c4944b1e0d64c554c598f729e72a5a33dc7211fc326427ff752a"", ""taxonomy"": ""us-gaap"", ""unit"": ""USD"", ""value"": -61018000000}"
AMZN,Assets,2024-06-07,3536,3354,61,0,"[{""accession_number"": ""0001018724-24-000083"", ""filed_date"": ""2024-05-01"", ""filing_period_match_score"": 0, ""form"": ""10-Q"", ""fp"": ""Q1"", ""period_duration_days"": null, ""period_end"": ""2024-03-31"", ""period_start"": """"}]",AVAILABLE,latest PIT-safe economic period; filing-period duration preference applied,"{""accession_number"": ""0001018724-24-000083"", ""concept"": ""Assets"", ""filed_date"": ""2024-05-01"", ""form"": ""10-Q"", ""fp"": ""Q1"", ""fy"": 2024, ""period_duration_class"": ""point_in_time"", ""period_duration_days"": null, ""period_end"": ""2024-03-31"", ""period_start"": """", ""source_member"": ""financial_reports/amzn/condensed_consolidated_balance_sheets.json"", ""source_provenance_hash"": ""aeb8877dd37a86cab9e9d52e136c7cd34247c2c5ad9165934cdba3fb22501a09"", ""taxonomy"": ""us-gaap"", ""unit"": ""USD"", ""value"": 530969000000}"
AMZN,Liabilities,2024-06-07,0,0,0,0,[],UNAVAILABLE,no PIT-safe fact with period end,
