strategy,symbol,start_date,end_date,trade_count,CR,AR,SR,MDD,final_equity,initial_equity,trading_days
B&H,AAPL,2024-03-07,2024-03-12,1,0.02500548001425118,5.0750237576435815,19.9060014579514,0.0,102409.742645,99911.409882,4
MACD,AAPL,2024-03-07,2024-03-12,0,0.0,0.0,0.0,0.0,100000.0,100000.0,4
KDJRSI,AAPL,2024-03-07,2024-03-12,0,0.0,0.0,0.0,0.0,100000.0,100000.0,4
ZMR,AAPL,2024-03-07,2024-03-12,0,0.0,0.0,0.0,0.0,100000.0,100000.0,4
SMA,AAPL,2024-03-07,2024-03-12,0,0.0,0.0,0.0,0.0,100000.0,100000.0,4
